Ticker,Date,Trade Type,Action,Shares,Price,Profit,Balance
AAPL,11.07.2022 14:30,Long,Open,6.0,145.0,0,130.0
AAPL,17.08.2022 12:30,Long,Close,6.0,174.61000061035156,177.66000366210938,1177.6600036621094
AAPL,19.08.2022 09:30,Long,Open,6.0,172.1699981689453,0,144.6400146484375
AAPL,25.08.2022 09:30,Long,Close,6.0,169.3000030517578,-17.219970703125,1160.4400329589844
AAPL,25.08.2022 13:30,Short,Open,6.0,169.32000732421875,0,2176.360076904297
AAPL,26.08.2022 10:30,Short,Close,6.0,166.9893035888672,13.984222412109375,1174.4242553710938
AAPL,02.09.2022 12:30,Long,Open,7.0,156.39999389648438,0,79.62429809570312
AAPL,09.09.2022 10:30,Long,Close,7.0,156.9600067138672,3.9200897216796875,1178.3443450927734
AAPL,21.09.2022 15:30,Long,Open,7.0,153.7100067138672,0,102.37429809570312
AAPL,05.06.2023 11:30,Long,Close,7.0,184.55039978027344,215.88275146484375,1394.2270965576172
AAPL,14.06.2023 13:30,Long,Open,7.0,182.6499938964844,0,115.67713928222634
AAPL,25.07.2023 12:30,Long,Close,7.0,194.1999969482422,80.85002136230449,1475.0771179199216
AAPL,27.07.2023 13:30,Long,Open,7.0,193.72999572753903,0,118.96714782714844
AAPL,10.08.2023 09:30,Long,Close,7.0,180.10000610351562,-95.40992736816386,1379.6671905517578
AAPL,18.09.2023 09:30,Short,Open,7.0,177.0218963623047,0,2618.8204650878906
AAPL,20.09.2023 10:30,Short,Close,7.0,176.98500061035156,0.258270263671875,1379.9254608154297
AAPL,20.09.2023 11:30,Long,Open,7.0,177.63999938964844,0,136.44546508789062
AAPL,08.03.2024 09:30,Long,Close,7.0,171.77999877929688,-41.02000427246094,1338.9054565429688
AAPL,08.03.2024 10:30,Short,Open,7.0,171.6199951171875,0,2540.2454223632812
AAPL,13.03.2024 09:30,Short,Close,7.0,170.98500061035156,4.4449615478515625,1343.3504180908203
AAPL,13.03.2024 10:30,Long,Open,7.0,170.9949951171875,0,146.3854522705078
AAPL,12.06.2024 09:30,Long,Close,7.0,215.2350006103516,309.68003845214866,1653.030456542969
AAPL,14.06.2024 11:30,Long,Open,7.0,211.75,0,170.78045654296898
AAPL,26.06.2024 10:30,Long,Close,7.0,213.2100067138672,10.220046997070312,1663.2505035400393
AAPL,28.06.2024 13:30,Long,Open,7.0,213.2100067138672,0,170.78045654296898
AAPL,02.07.2024 15:30,Long,Close,7.0,220.3699951171875,50.11991882324219,1713.3704223632815
MSFT,11.07.2022 14:30,Long,Open,3.0,264.6099853515625,0,206.1700439453125
MSFT,25.08.2022 15:30,Long,Close,3.0,279.0,43.1700439453125,1043.1700439453125
MSFT,02.09.2022 12:30,Long,Open,4.0,257.6499938964844,0,12.570068359375
MSFT,08.09.2022 10:30,Long,Close,4.0,259.9349975585937,9.140014648437273,1052.3100585937498
MSFT,03.10.2022 14:30,Short,Open,4.0,241.32000732421875,0,2017.5900878906248
MSFT,06.10.2022 14:30,Short,Close,4.0,247.55999755859372,-24.959960937499886,1027.35009765625
MSFT,06.10.2022 15:30,Long,Open,4.0,246.7899932861328,0,40.19012451171875
MSFT,29.12.2022 10:30,Long,Close,4.0,239.7100067138672,-28.3199462890625,999.0301513671875
MSFT,30.12.2022 09:30,Long,Open,4.0,237.6999969482422,0,48.23016357421875
MSFT,23.02.2023 14:30,Long,Close,4.0,255.42999267578125,70.91998291015625,1069.9501342773438
MSFT,07.03.2023 10:30,Long,Open,4.0,254.6000061035156,0,51.550109863281364
MSFT,02.05.2023 13:30,Long,Close,4.0,305.75,204.5999755859376,1274.5501098632812
MSFT,02.05.2023 14:30,Long,Open,4.0,305.6099853515625,0,52.11016845703125
MSFT,16.05.2023 09:30,Long,Close,4.0,312.260009765625,26.60009765625,1301.1502075195312
MSFT,23.05.2023 10:30,Long,Open,4.0,318.9798889160156,0,25.23065185546875
MSFT,25.07.2023 11:30,Long,Close,4.0,348.7879943847656,119.232421875,1420.3826293945312
MSFT,25.07.2023 12:30,Short,Open,4.0,350.79010009765625,0,2823.5430297851562
MSFT,04.08.2023 14:30,Short,Close,4.0,328.375,89.660400390625,1510.0430297851562
MSFT,04.08.2023 15:30,Long,Open,4.0,327.79998779296875,0,198.84307861328125
MSFT,29.08.2023 09:30,Long,Close,4.0,326.75,-4.199951171875,1505.8430786132812
MSFT,31.08.2023 14:30,Long,Open,4.0,327.9599914550781,0,194.00311279296875
MSFT,19.01.2024 09:30,Long,Close,4.0,394.9200134277344,267.840087890625,1773.6831665039062
MSFT,23.01.2024 10:30,Long,Open,4.0,395.0461120605469,0,193.49871826171875
MSFT,04.04.2024 09:30,Long,Close,4.0,425.7200927734375,122.6959228515625,1896.3790893554688
MSFT,09.04.2024 10:30,Long,Open,4.0,422.9800109863281,0,204.45904541015625
MSFT,02.07.2024 15:30,Long,Close,4.0,459.4200134277344,145.760009765625,2042.1390991210938
GOOGL,21.07.2022 09:30,Long,Open,8.0,111.58999633789062,0,107.280029296875
GOOGL,25.08.2022 09:30,Long,Close,8.0,115.8314971923828,33.932006835937386,1033.9320068359375
GOOGL,02.09.2022 09:30,Short,Open,9.0,110.25,0,2026.1820068359375
GOOGL,05.10.2022 09:30,Short,Close,9.0,98.91000366210938,102.05996704101562,1135.9919738769531
GOOGL,07.10.2022 09:30,Long,Open,11.0,99.4499969482422,0,42.042007446288835
GOOGL,31.03.2023 09:30,Long,Close,11.0,102.4749984741211,33.27501678466781,1169.2669906616209
GOOGL,31.03.2023 10:30,Short,Open,11.0,102.5500030517578,0,2297.3170242309566
GOOGL,05.04.2023 11:30,Short,Close,11.0,103.9000015258789,-14.849983215332188,1154.4170074462886
GOOGL,05.04.2023 12:30,Long,Open,11.0,103.93000030517578,0,11.187004089355014
GOOGL,22.05.2023 09:30,Long,Close,11.0,124.85759735107422,230.2035675048828,1384.6205749511714
GOOGL,23.05.2023 12:30,Long,Open,11.0,123.12999725341795,0,30.19060516357399
GOOGL,13.06.2023 10:30,Long,Close,11.0,124.37000274658205,13.640060424805,1398.2606353759766
GOOGL,16.06.2023 14:30,Long,Open,11.0,123.87000274658205,0,35.69060516357399
GOOGL,24.01.2024 09:30,Long,Close,11.0,149.64999389648438,283.5799026489256,1681.8405380249021
GOOGL,30.01.2024 11:30,Long,Open,11.0,151.625,0,13.965538024902116
GOOGL,25.06.2024 14:30,Long,Close,11.0,183.4600067138672,350.18507385253906,2032.0256118774412
GOOGL,28.06.2024 10:30,Long,Open,11.0,183.94500732421875,0,8.630531311034929
GOOGL,02.07.2024 15:30,Long,Close,11.0,185.2700042724609,14.57496643066375,2046.600578308105
AMZN,22.07.2022 11:30,Long,Open,8.0,122.1449966430664,0,22.84002685546875
AMZN,01.11.2022 11:30,Long,Close,8.0,96.84030151367188,-202.43756103515625,797.5624389648438
AMZN,14.11.2022 15:30,Long,Open,8.0,98.4499969482422,0,9.962463378906136
AMZN,29.03.2023 09:30,Long,Close,8.0,99.3000030517578,6.800048828124773,804.3624877929685
AMZN,03.04.2023 12:30,Long,Open,7.0,101.72000122070312,0,92.32247924804665
AMZN,24.05.2023 14:30,Long,Close,7.0,117.13500213623048,107.9050064086915,912.26749420166
AMZN,31.05.2023 10:30,Long,Open,7.0,119.4749984741211,0,75.94250488281239
AMZN,29.08.2023 09:30,Long,Close,7.0,134.50010681152344,105.1757583618164,1017.4432525634764
AMZN,29.08.2023 10:30,Short,Open,7.0,134.32000732421875,0,1957.6833038330078
AMZN,05.09.2023 09:30,Short,Close,7.0,136.3000030517578,-13.859970092773438,1003.5832824707031
AMZN,05.09.2023 10:30,Long,Open,7.0,136.5749969482422,0,47.55830383300781
AMZN,06.10.2023 13:30,Long,Close,7.0,127.77999877929688,-61.56498718261719,942.0182952880859
AMZN,09.10.2023 09:30,Long,Open,7.0,126.0019989013672,0,60.00430297851551
AMZN,18.12.2023 09:30,Long,Close,7.0,152.76409912109375,187.33470153808582,1129.3529968261719
AMZN,20.12.2023 14:30,Long,Open,7.0,152.13999938964844,0,64.37300109863281
AMZN,20.03.2024 13:30,Long,Close,7.0,176.64010620117188,171.50074768066406,1300.853744506836
AMZN,26.03.2024 09:30,Long,Open,7.0,179.25010681152344,0,46.102996826171875
AMZN,02.07.2024 15:30,Long,Close,7.0,200.0200042724609,145.3892822265623,1446.2430267333982
TSLA,25.07.2022 13:30,Long,Open,3.0,269.3516540527344,0,191.94503784179688
TSLA,12.10.2022 09:30,Long,Close,3.0,213.22999572753903,-168.36497497558602,831.635025024414
TSLA,14.10.2022 09:30,Long,Open,3.0,213.66000366210935,0,190.65501403808594
TSLA,21.11.2022 11:30,Long,Close,3.0,168.76010131835938,-134.69970703124991,696.9353179931641
TSLA,29.11.2022 11:30,Long,Open,3.0,182.5825042724609,0,149.18780517578136
TSLA,20.12.2022 09:30,Long,Close,3.0,145.86000061035156,-110.16751098632804,586.767807006836
TSLA,12.01.2023 09:30,Long,Open,4.0,119.58999633789062,0,108.40782165527355
TSLA,23.01.2023 12:30,Long,Close,4.0,143.74000549316406,96.60003662109375,683.3678436279298
TSLA,25.01.2023 09:30,Long,Open,4.0,139.4499969482422,0,125.56785583496105
TSLA,27.01.2023 10:30,Long,Close,4.0,169.53460693359375,120.33843994140625,803.706283569336
TSLA,30.01.2023 14:30,Long,Open,4.0,168.10000610351562,0,131.30625915527355
TSLA,08.02.2023 09:30,Long,Close,4.0,202.1100006103516,136.03997802734386,939.7462615966799
TSLA,10.02.2023 09:30,Long,Open,4.0,200.67010498046875,0,137.06584167480491
TSLA,24.04.2023 10:30,Long,Close,4.0,159.22000122070312,-165.8004150390625,773.9458465576174
TSLA,01.05.2023 10:30,Long,Open,4.0,159.08999633789062,0,137.58586120605491
TSLA,17.05.2023 09:30,Long,Close,4.0,171.8179931640625,50.9119873046875,824.8578338623049
TSLA,14.06.2023 13:30,Long,Open,3.0,253.08990478515625,0,65.58811950683616
TSLA,30.10.2023 09:30,Long,Close,3.0,201.44000244140625,-154.94970703125,669.9081268310549
TSLA,01.11.2023 14:30,Short,Open,3.0,204.16000366210935,0,1282.3881378173828
TSLA,06.11.2023 12:30,Short,Close,3.0,215.80999755859372,-34.949981689453125,634.9581451416017
TSLA,06.11.2023 13:30,Long,Open,2.0,217.2250061035156,0,200.50813293457048
TSLA,21.11.2023 09:30,Long,Close,2.0,240.17269897460935,45.8953857421875,680.8535308837892
TSLA,22.11.2023 09:30,Long,Open,2.0,234.3650054931641,0,212.123519897461
TSLA,28.11.2023 10:30,Long,Close,2.0,240.9499969482422,13.169982910156193,694.0235137939453
TSLA,06.12.2023 15:30,Long,Open,2.0,239.4120941162109,0,215.1993255615235
TSLA,25.01.2024 09:30,Long,Close,2.0,187.13999938964844,-104.54418945312494,589.4793243408203
TSLA,31.01.2024 13:30,Long,Open,3.0,189.625,0,20.604324340820312
TSLA,18.04.2024 09:30,Long,Close,3.0,151.25999450683594,-115.09501647949219,474.3843078613281
TSLA,06.05.2024 09:30,Short,Open,2.0,184.43499755859372,0,843.2543029785156
TSLA,15.05.2024 14:30,Short,Close,2.0,174.63600158691406,19.597991943359318,493.9822998046875
TSLA,15.05.2024 15:30,Long,Open,2.0,174.08990478515625,0,145.802490234375
TSLA,25.06.2024 09:30,Long,Close,2.0,186.1100006103516,24.040191650390682,518.0224914550781
TSLA,28.06.2024 14:30,Long,Open,2.0,196.1020050048828,0,125.8184814453125
TSLA,02.07.2024 15:30,Long,Close,2.0,231.2400054931641,70.27600097656256,588.2984924316406
META,27.07.2022 09:30,Long,Open,6.0,164.80999755859375,0,11.1400146484375
META,04.10.2022 10:30,Long,Close,6.0,141.1699981689453,-141.83999633789062,858.1600036621094
META,04.10.2022 11:30,Short,Open,6.0,141.60009765625,0,1707.7605895996094
META,14.10.2022 09:30,Short,Close,6.0,128.2899932861328,79.86062622070312,938.0206298828125
META,14.10.2022 11:30,Long,Open,7.0,128.1999969482422,0,40.62065124511719
